Efetivo em	Valor (R$)	Δ
1/05/1995	R$ 100 [12]	+R$30
1/05/1996	R$ 112 [13]	+R$12
1/05/1997	R$ 120 [14]	+R$08
1/05/1998	R$ 130 [15]	+R$10
1/05/1999	R$ 136 [16]	+R$06
1/04/2000	R$ 151 [17]	+R$15
1/04/2001	R$ 180 [18]	+R$29
1/04/2002	R$ 200 [19]	+R$20
1/04/2003	R$ 240 [20]	+R$40
1/05/2004	R$ 260 [21]	+R$20
1/05/2005	R$ 300 [22]	+R$40
1/04/2006	R$ 350 [23]	+R$50
1/01/2010	R$ 510[24]	+R$45
1/01/2011	R$ 545[25]	+R$35
1/01/2012	R$ 622[26]	+R$77
1/01/2013	R$ 678[27]	+R$56
1/01/2014	R$ 724[28]	+R$46
1/01/2015	R$ 788[29]	+R$64
1/01/2016	R$ 880[30]	+R$92
1/01/2017	R$ 937[31]	+R$57
1/01/2018	R$ 954[32]	+R$17
1/01/2019	R$ 998[33]	+R$44
1/01/2020	R$ 1.039[34]	+R$41
1/02/2020	R$ 1.045[35]	+R$06
